Retailer,Title,Product,Price,Available,SKU,Website
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"19,700.00","['29', '32']",EMP1855PAZA,https://www.agjeans.com/prima-ankle-EMP1855PAZA.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"22,400.00","['23', '24', '25', '26', '27', '28', '30', '31', '32']",BKS1979CHAB,https://www.agjeans.com/alexxis-BKS1979CHAB.html
agjeans,Alexxis,VINTAGE STRAIGHT,"19,900.00","['23', '24', '27', '29', '30', '31', '32']",VBS197910YELL,https://www.agjeans.com/alexxis-VBS197910YELL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1729LH10YCLE,https://www.agjeans.com/mila-EMP1729LH10YCLE.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1777LH10YCLE,https://www.agjeans.com/farrah-skinny-ankle-EMP1777LH10YCLE.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['27', '30', '31', '32']",TVN1434BRNX,https://www.agjeans.com/prima-TVN1434BRNX.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1979ATHS,https://www.agjeans.com/alexxis-VBS1979ATHS.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DSDB1B76BBRD,https://www.agjeans.com/alexxis-slim-DSDB1B76BBRD.html
agjeans,Alexxis,VINTAGE STRAIGHT,"24,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1979PWRNTMT,https://www.agjeans.com/alexxis-NBD1979PWRNTMT.html
agjeans,Prima,CIGARETTE LEG,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1B53ATHS,https://www.agjeans.com/renn-extended-VBS1B53ATHS.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"19,900.00","['XS', 'S', 'M', 'L', 'XL']",DSDN4526EBCABM,https://www.agjeans.com/mirah-cropped-trucker-jacket-DSDN4526EBCABM.html
agjeans,Alexxis,VINTAGE STRAIGHT,"20,900.00","['XS', 'S', 'M', 'L', 'XL']",DSDN4471TYMAID,https://www.agjeans.com/mirah-cropped-trucker-jacket-DSDN4471TYMAID.html
agjeans,Prima,CIGARETTE LEG,"20,900.00","['XS', 'S', 'M', 'L', 'XL']",HAS4509CYSO,https://www.agjeans.com/mirah-fatigue-HAS4509CYSO.html
agjeans,Kinsley,HIGH-RISE FLARED CROP,"19,900.00","['XS', 'S', 'M', 'L', 'XL']",HAS6233SBA,https://www.agjeans.com/ryleigh-jumpsuit-HAS6233SBA.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['24', '26', '27', '29', '30', '31', '32']",EMP1434CSCR,https://www.agjeans.com/prima-EMP1434CSCR.html
agjeans,Alexxis Slim,VINTAGE SLIM,"19,900.00","['23', '24', '25', '32']",EMP1875CABA,https://www.agjeans.com/mari-EMP1875CABA.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1575BCATHS,https://www.agjeans.com/ex-boyfriend-slim-VBS1575BCATHS.html
agjeans,Alexxis,VINTAGE STRAIGHT,"21,400.00","['23', '24', '25', '30', '31', '32']",EMP1875TE10YBWY,https://www.agjeans.com/mari-EMP1875TE10YBWY.html
agjeans,Alexxis Slim,VINTAGE SLIM,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS179718YPOL,https://www.agjeans.com/rhett-VBS179718YPOL.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '27', '28', '31', '32']",EMP187518YPDE,https://www.agjeans.com/mari-EMP187518YPDE.html
agjeans,Ezzra,TRUE BOYFRIEND,"21,900.00","['XS', 'S', 'M', 'L']",NBD4471PWRNTMT,https://www.agjeans.com/mirah-jacket-NBD4471PWRNTMT.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"23,400.00","['23', '24', '25']",EMP1B33BBLL,https://www.agjeans.com/mari-extended-EMP1B33BBLL.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"24,400.00","['27', '28', '29', '30', '31', '32']",PSI143407YBNS,https://www.agjeans.com/prima-PSI143407YBNS.html
agjeans,Prima Crop,CIGARETTE LEG,"22,400.00","['23', '30', '32']",STS1575RDWY,https://www.agjeans.com/ex-boyfriend-slim-STS1575RDWY.html
agjeans,Saige,HIGH-RISE STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '28', '30']",DSD1604FH01YTWT,https://www.agjeans.com/nikki-short-DSD1604FH01YTWT.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '25', '26', '27', '28', '29', '30', '31', '32']",LGN1979BREZ,https://www.agjeans.com/alexxis-LGN1979BREZ.html
agjeans,Ezzra,TRUE BOYFRIEND,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",DSDN1986RHTYMAID,https://www.agjeans.com/alexxis-crop-DSDN1986RHTYMAID.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",SSW1389RHSLRFGN,https://www.agjeans.com/legging-ankle-SSW1389RHSLRFGN.html
agjeans,Saige,HIGH-RISE STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",LGN1B52RHYALE,https://www.agjeans.com/kerah-short-LGN1B52RHYALE.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['XS', 'S', 'M', 'L']",LGN4545JSDC,https://www.agjeans.com/jemma-jacket-LGN4545JSDC.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"19,900.00","['XS', 'S', 'M', 'L']",SGD4540HOSH,https://www.agjeans.com/kendrix-jacket-SGD4540HOSH.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"19,900.00","['25', '27', '28', '29', '31']",EMP155726YBCS,https://www.agjeans.com/prima-crop-EMP155726YBCS.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '29', '30', '31', '32']",LED1714VNSRAM,https://www.agjeans.com/hailey-cut-off-short-LED1714VNSRAM.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SSW1389RHSLSHBW,https://www.agjeans.com/legging-ankle-SSW1389RHSLSHBW.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"20,900.00","['24', '25', '32']",HYI157511YVLO,https://www.agjeans.com/ex-boyfriend-slim-HYI157511YVLO.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"19,700.00","['28', '29', '30', '31', '32']",CHD1979JTMETO,https://www.agjeans.com/alexxis-CHD1979JTMETO.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"22,400.00","['24', '25', '27', '28', '29', '30', '31', '32']",VBS1B44RHBLLB,https://www.agjeans.com/darted-aven-short-VBS1B44RHBLLB.html
agjeans,Alexxis,VINTAGE STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",LGN197924YALT,https://www.agjeans.com/alexxis-LGN197924YALT.html
agjeans,Alexxis,VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1B11PRHCOWBCH,https://www.agjeans.com/alexxis-short-NBD1B11PRHCOWBCH.html
