Retailer,Title,Product,Price,SKU,Website
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,800.00",LED157517YWUT,/ex-boyfriend-slim-LED157517YWUT.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",PSI1777BT14YONG,/farrah-skinny-ankle-PSI1777BT14YONG.html
agjeans,Mari,HIGH-RISE SLIM STRAIGHT,"₹21,300.00",DSD1875SLROVE,/mari-DSD1875SLROVE.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",DSD1A99AWHT,/saige-DSD1A99AWHT.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",HYI157511YSEK,/ex-boyfriend-slim-HYI157511YSEK.html
agjeans,Sloane Short,VINTAGE BOYFRIEND SHORT,"₹17,700.00",LGN1B87BOCH,/sloane-short-LGN1B87BOCH.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹22,300.00",CWS1A48WY20YHDT,/mari-crop-CWS1A48WY20YHDT.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",CWS1777WY20YHDT,/farrah-skinny-ankle-CWS1777WY20YHDT.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹21,300.00",DSD1875SLBOBE,/mari-DSD1875SLBOBE.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",EMP1379WY15YSSP,/farrah-EMP1379WY15YSSP.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹19,800.00",LED1A9817YWVW,/knoxx-LED1A9817YWVW.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹19,800.00",LED1B76VYRD,/alexxis-slim-LED1B76VYRD.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",VBS1B75VNSSOL,/alexxis-boot-VBS1B75VNSSOL.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"₹19,600.00",HRD1575BTEBSBFC,/ex-boyfriend-slim-HRD1575BTEBSBFC.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",LED1986VN17YWVW,/alexxis-crop-LED1986VN17YWVW.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",VBS1C05VNSSOL,/kinsley-VBS1C05VNSSOL.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",LED1714VN17YWVW,/hailey-cut-off-short-LED1714VN17YWVW.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",NBD1A98AWDT,/knoxx-NBD1A98AWDT.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹24,300.00",LED1B7623YUTO,/alexxis-slim-LED1B7623YUTO.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹19,800.00",VBS1979CVSSOL,/alexxis-VBS1979CVSSOL.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹23,300.00",SGD1C05WY21YCBY,/kinsley-SGD1C05WY21YCBY.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹19,800.00",DAS15752TCATR,/ex-boyfriend-slim-DAS15752TCATR.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹21,300.00",LED157510YALI,/ex-boyfriend-slim-LED157510YALI.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹21,300.00",PSI1875OPUB,/mari-PSI1875OPUB.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹22,300.00",RAS137910YALI,/farrah-skinny-RAS137910YALI.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹21,800.00",EMP1875PAZA,/mari-EMP1875PAZA.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹24,300.00",DSD1855WHT,/prima-ankle-DSD1855WHT.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"₹23,300.00",STS1575BLKC,/ex-boyfriend-slim-STS1575BLKC.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",PSI1777OPUB,/farrah-skinny-ankle-PSI1777OPUB.html
agjeans,Prima Crop,CIGARETTE LEG,"₹22,300.00",PSI1729OPUB,/mila-PSI1729OPUB.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",DBD1777RH01YMBD,/farrah-skinny-ankle-DBD1777RH01YMBD.html
agjeans,Alexxis Boot,VINTAGE BOOT,"₹22,300.00",VBS157510YELL,/ex-boyfriend-slim-VBS157510YELL.html
agjeans,Legging Ankle,SUPER SKINNY ANKLE,"₹22,300.00",PSI1434OPUB,/prima-PSI1434OPUB.html
agjeans,Mari Crop,HIGH-RISE SLIM STRAIGHT,"₹20,800.00",HYD1875WTCM,/mari-HYD1875WTCM.html
agjeans,Nikki Short,RELAXED SKINNY SHORT,"₹16,700.00",EMP177712YCHK,/farrah-skinny-ankle-EMP177712YCHK.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,800.00",RAS187515YSHL,/mari-RAS187515YSHL.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",RAS1875ATTC,/mari-RAS1875ATTC.html
agjeans,Mari,HIGH-RISE SLIM STRAIGHT,"₹21,300.00",RAS143410YALI,/prima-RAS143410YALI.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",CWS1434NPAV,/prima-CWS1434NPAV.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",RAS1434CIEL,/prima-RAS1434CIEL.html
agjeans,Sloane Short,VINTAGE BOYFRIEND SHORT,"₹17,700.00",CWS1875NPAV,/mari-CWS1875NPAV.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹22,300.00",DSD187501YTWT,/mari-DSD187501YTWT.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",EMP4087CDWT,/robyn-jacket-EMP4087CDWT.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹21,300.00",HSI138917YVUR,/legging-ankle-HSI138917YVUR.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",HSI177717YVUR,/farrah-skinny-ankle-HSI177717YVUR.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹19,800.00",LED1B76ARWY,/alexxis-slim-LED1B76ARWY.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹19,800.00",RAS138910YALI,/legging-ankle-RAS138910YALI.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",HYD1875DYDT,/mari-HYD1875DYDT.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"₹19,600.00",EMP187526YBCS,/mari-EMP187526YBCS.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",VBS157514YMEN,/ex-boyfriend-slim-VBS157514YMEN.html
